timestamp,request_count,bytes_sum,bytes_mean,bytes_max,bytes_p95,unique_hosts,status_2xx,status_3xx,status_4xx,status_5xx,error_count,error_rate,method_get,method_post,method_head,method_other,throughput_bytes_per_min,request_spike_score,congestion_score_proxy,target_next_congestion_score
1995-07-01 04:00:00+00:00,14,17073,1219.5,1239,1237.05,14,11,0,0,3,3,0.21428571428571427,12,1,1,0,17073.0,0.0,0.04285714285714286,0.337306148018955
1995-07-01 04:01:00+00:00,3,3909,1303.0,1306,1305.7,3,2,0,1,0,1,0.3333333333333333,2,0,1,0,3909.0,0.0,0.06666666666666667,0.4256381912033753
1995-07-01 04:02:00+00:00,4,5618,1404.5,1409,1408.55,4,3,0,1,0,1,0.25,3,0,1,0,5618.0,0.0,0.12141929780945278,0.1
1995-07-01 04:03:00+00:00,5,7530,1506.0,1512,1511.4,5,4,0,1,0,1,0.2,4,0,1,0,7530.0,0.0,0.1859227645645148,0.14158126098970109
1995-07-01 04:04:00+00:00,6,9645,1607.5,1615,1614.25,6,5,0,1,0,1,0.16666666666666666,5,0,1,0,9645.0,0.0,0.25684373359851936,0.20288872142677716
1995-07-01 04:05:00+00:00,7,11963,1709.0,1718,1717.1,7,6,0,1,0,1,0.14285714285714285,6,0,1,0,11963.0,0.04552514536059851,0.337306148018955,0.27392238131122837
1995-07-01 04:06:00+00:00,8,14484,1810.5,1821,1819.95,8,7,0,1,0,1,0.125,7,0,1,0,14484.0,0.1270001270001905,0.4256381912033753,0.35590223349543076
1995-07-01 04:07:00+00:00,2,3803,1901.5,1903,1902.85,2,1,0,1,0,1,0.5,1,0,1,0,3803.0,0.0,0.1,0.44861087129099286
1995-07-01 04:08:00+00:00,3,6009,2003.0,2006,2005.7,3,2,0,1,0,1,0.3333333333333333,2,0,1,0,6009.0,0.0,0.14158126098970109,0.3887289849949879
1995-07-01 04:09:00+00:00,4,8418,2104.5,2109,2108.55,4,3,0,1,0,1,0.25,3,0,1,0,8418.0,0.0,0.20288872142677716,0.1
