sample_index,timestamp_index,is_synthetic,source_id,scenario_name,phase,true_alert_label,severity,incident_start,incident_peak,incident_end,generation_config_id
0,0,True,synthetic_stress_public_baseline,flash_crowd,background,False,0.0,-1,-1,-1,882e3f3f4815385e
1,1,True,synthetic_stress_public_baseline,flash_crowd,background,False,0.0,-1,-1,-1,882e3f3f4815385e
2,2,True,synthetic_stress_public_baseline,flash_crowd,background,False,0.0,-1,-1,-1,882e3f3f4815385e
3,3,True,synthetic_stress_public_baseline,flash_crowd,background,False,0.0,-1,-1,-1,882e3f3f4815385e
4,4,True,synthetic_stress_public_baseline,flash_crowd,background,False,0.0,-1,-1,-1,882e3f3f4815385e
5,5,True,synthetic_stress_public_baseline,flash_crowd,background,False,0.0,-1,-1,-1,882e3f3f4815385e
6,6,True,synthetic_stress_public_baseline,flash_crowd,background,False,0.0,-1,-1,-1,882e3f3f4815385e
7,7,True,synthetic_stress_public_baseline,flash_crowd,background,False,0.0,-1,-1,-1,882e3f3f4815385e
8,8,True,synthetic_stress_public_baseline,flash_crowd,background,False,0.0,-1,-1,-1,882e3f3f4815385e
9,9,True,synthetic_stress_public_baseline,flash_crowd,background,False,0.0,-1,-1,-1,882e3f3f4815385e
10,10,True,synthetic_stress_public_baseline,flash_crowd,background,False,0.0,-1,-1,-1,882e3f3f4815385e
11,11,True,synthetic_stress_public_baseline,flash_crowd,background,False,0.0,-1,-1,-1,882e3f3f4815385e
12,12,True,synthetic_stress_public_baseline,flash_crowd,background,False,0.0,-1,-1,-1,882e3f3f4815385e
13,13,True,synthetic_stress_public_baseline,flash_crowd,background,False,0.0,-1,-1,-1,882e3f3f4815385e
14,14,True,synthetic_stress_public_baseline,flash_crowd,background,False,0.0,-1,-1,-1,882e3f3f4815385e
15,15,True,synthetic_stress_public_baseline,flash_crowd,background,False,0.0,-1,-1,-1,882e3f3f4815385e
16,16,True,synthetic_stress_public_baseline,flash_crowd,background,False,0.0,-1,-1,-1,882e3f3f4815385e
17,17,True,synthetic_stress_public_baseline,flash_crowd,background,False,0.0,-1,-1,-1,882e3f3f4815385e
18,18,True,synthetic_stress_public_baseline,flash_crowd,background,False,0.0,-1,-1,-1,882e3f3f4815385e
19,19,True,synthetic_stress_public_baseline,flash_crowd,background,False,0.0,-1,-1,-1,882e3f3f4815385e
20,20,True,synthetic_stress_public_baseline,flash_crowd,background,False,0.0,-1,-1,-1,882e3f3f4815385e
21,21,True,synthetic_stress_public_baseline,flash_crowd,background,False,0.0,-1,-1,-1,882e3f3f4815385e
22,22,True,synthetic_stress_public_baseline,flash_crowd,background,False,0.0,-1,-1,-1,882e3f3f4815385e
23,23,True,synthetic_stress_public_baseline,flash_crowd,background,False,0.0,-1,-1,-1,882e3f3f4815385e
24,24,True,synthetic_stress_public_baseline,flash_crowd,background,False,0.0,-1,-1,-1,882e3f3f4815385e
25,25,True,synthetic_stress_public_baseline,flash_crowd,background,False,0.0,-1,-1,-1,882e3f3f4815385e
26,26,True,synthetic_stress_public_baseline,flash_crowd,background,False,0.0,-1,-1,-1,882e3f3f4815385e
27,27,True,synthetic_stress_public_baseline,flash_crowd,background,False,0.0,-1,-1,-1,882e3f3f4815385e
28,28,True,synthetic_stress_public_baseline,flash_crowd,background,False,0.0,-1,-1,-1,882e3f3f4815385e
29,29,True,synthetic_stress_public_baseline,flash_crowd,background,False,0.0,-1,-1,-1,882e3f3f4815385e
30,30,True,synthetic_stress_public_baseline,flash_crowd,background,False,0.0,-1,-1,-1,882e3f3f4815385e
31,31,True,synthetic_stress_public_baseline,flash_crowd,background,False,0.0,-1,-1,-1,882e3f3f4815385e
32,32,True,synthetic_stress_public_baseline,flash_crowd,background,False,0.0,-1,-1,-1,882e3f3f4815385e
33,33,True,synthetic_stress_public_baseline,flash_crowd,background,False,0.0,-1,-1,-1,882e3f3f4815385e
34,34,True,synthetic_stress_public_baseline,flash_crowd,background,False,0.0,-1,-1,-1,882e3f3f4815385e
35,35,True,synthetic_stress_public_baseline,flash_crowd,background,False,0.0,-1,-1,-1,882e3f3f4815385e
36,36,True,synthetic_stress_public_baseline,flash_crowd,background,False,0.0,-1,-1,-1,882e3f3f4815385e
37,37,True,synthetic_stress_public_baseline,flash_crowd,background,False,0.0,-1,-1,-1,882e3f3f4815385e
38,38,True,synthetic_stress_public_baseline,flash_crowd,background,False,0.0,-1,-1,-1,882e3f3f4815385e
39,39,True,synthetic_stress_public_baseline,flash_crowd,background,False,0.0,-1,-1,-1,882e3f3f4815385e
40,40,True,synthetic_stress_public_baseline,flash_crowd,background,False,0.0,-1,-1,-1,882e3f3f4815385e
41,41,True,synthetic_stress_public_baseline,flash_crowd,background,False,0.0,-1,-1,-1,882e3f3f4815385e
42,42,True,synthetic_stress_public_baseline,flash_crowd,background,False,0.0,-1,-1,-1,882e3f3f4815385e
43,43,True,synthetic_stress_public_baseline,flash_crowd,background,False,0.0,-1,-1,-1,882e3f3f4815385e
44,44,True,synthetic_stress_public_baseline,flash_crowd,background,False,0.0,-1,-1,-1,882e3f3f4815385e
45,45,True,synthetic_stress_public_baseline,flash_crowd,background,False,0.0,-1,-1,-1,882e3f3f4815385e
46,46,True,synthetic_stress_public_baseline,flash_crowd,background,False,0.0,-1,-1,-1,882e3f3f4815385e
47,47,True,synthetic_stress_public_baseline,flash_crowd,background,False,0.0,-1,-1,-1,882e3f3f4815385e
48,48,True,synthetic_stress_public_baseline,flash_crowd,background,False,0.0,-1,-1,-1,882e3f3f4815385e
49,49,True,synthetic_stress_public_baseline,flash_crowd,background,False,0.0,-1,-1,-1,882e3f3f4815385e
50,50,True,synthetic_stress_public_baseline,flash_crowd,background,False,0.0,-1,-1,-1,882e3f3f4815385e
51,51,True,synthetic_stress_public_baseline,flash_crowd,background,False,0.0,-1,-1,-1,882e3f3f4815385e
52,52,True,synthetic_stress_public_baseline,flash_crowd,background,False,0.0,-1,-1,-1,882e3f3f4815385e
53,53,True,synthetic_stress_public_baseline,flash_crowd,background,False,0.0,-1,-1,-1,882e3f3f4815385e
54,54,True,synthetic_stress_public_baseline,flash_crowd,background,False,0.0,-1,-1,-1,882e3f3f4815385e
55,55,True,synthetic_stress_public_baseline,flash_crowd,background,False,0.0,-1,-1,-1,882e3f3f4815385e
56,56,True,synthetic_stress_public_baseline,flash_crowd,background,False,0.0,-1,-1,-1,882e3f3f4815385e
57,57,True,synthetic_stress_public_baseline,flash_crowd,background,False,0.0,-1,-1,-1,882e3f3f4815385e
58,58,True,synthetic_stress_public_baseline,flash_crowd,background,False,0.0,-1,-1,-1,882e3f3f4815385e
59,59,True,synthetic_stress_public_baseline,flash_crowd,background,False,0.0,-1,-1,-1,882e3f3f4815385e
60,60,True,synthetic_stress_public_baseline,flash_crowd,background,False,0.0,-1,-1,-1,882e3f3f4815385e
61,61,True,synthetic_stress_public_baseline,flash_crowd,background,False,0.0,-1,-1,-1,882e3f3f4815385e
62,62,True,synthetic_stress_public_baseline,flash_crowd,background,False,0.0,-1,-1,-1,882e3f3f4815385e
63,63,True,synthetic_stress_public_baseline,flash_crowd,background,False,0.0,-1,-1,-1,882e3f3f4815385e
64,64,True,synthetic_stress_public_baseline,flash_crowd,background,False,0.0,-1,-1,-1,882e3f3f4815385e
65,65,True,synthetic_stress_public_baseline,flash_crowd,background,False,0.0,-1,-1,-1,882e3f3f4815385e
66,66,True,synthetic_stress_public_baseline,flash_crowd,background,False,0.0,-1,-1,-1,882e3f3f4815385e
67,67,True,synthetic_stress_public_baseline,flash_crowd,background,False,0.0,-1,-1,-1,882e3f3f4815385e
