Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1779024082,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1779024083,3,,Aggregated,0.000000,0.000000,18,19,25,25,37,43,43,43,43,43,43,11,0,18,18.92395453548736,6.242999981623143,43.48380002193153,23.272727272727273
1779024084,6,,Aggregated,0.000000,0.000000,25,37,43,50,87,98,150,150,150,150,150,24,0,19,35.5135583304218,6.242999981623143,152.26890001213178,19.875
1779024085,9,,Aggregated,8.000000,0.000000,19,37,45,56,87,98,150,150,150,150,150,43,0,19,35.406097674980586,5.624799989163876,152.26890001213178,24.53488372093023
1779024086,12,,Aggregated,10.000000,0.000000,22,33,45,50,87,130,150,150,150,150,150,71,0,22,35.77015633878469,5.624799989163876,152.26890001213178,24.91549295774648
1779024087,15,,Aggregated,12.333333,0.000000,23,35,41,46,87,130,150,150,150,150,150,99,0,23,34.75851919019896,5.624799989163876,152.26890001213178,24.636363636363637
1779024088,18,,Aggregated,15.250000,0.000000,19,31,38,45,87,130,150,150,150,150,150,137,0,19,33.90255766193362,5.596200004220009,152.26890001213178,24.912408759124087
1779024089,24,,Aggregated,18.400000,0.000000,21,37,45,50,87,130,150,150,180,180,180,183,0,21,35.57290983528835,5.596200004220009,176.8634999752976,25.311475409836067
1779024090,27,,Aggregated,21.500000,0.000000,23,38,46,56,100,130,140,150,180,180,180,238,0,22,37.513496637678934,5.560799967497587,176.8634999752976,25.869747899159663
1779024091,30,,Aggregated,24.285714,0.000000,21,37,45,56,110,130,150,150,180,180,180,298,1,21,37.48690570437431,5.560799967497587,176.8634999752976,26.154362416107382
1779024092,33,,Aggregated,27.500000,0.000000,22,38,46,60,110,130,150,150,180,180,180,366,1,22,38.67774180316651,5.560799967497587,176.8634999752976,26.314207650273225
1779024093,36,,Aggregated,30.888889,0.000000,24,38,46,64,110,140,150,150,180,180,180,437,1,24,39.84878329428028,5.515400029253215,176.8634999752976,26.789473684210527
1779024094,39,,Aggregated,33.800000,0.100000,25,39,49,62,110,130,150,150,180,180,180,512,1,25,40.13319062437404,5.515400029253215,176.8634999752976,26.478515625
1779024095,42,,Aggregated,39.700000,0.100000,27,40,54,67,110,130,150,160,200,200,200,595,1,27,41.43086604944219,5.515400029253215,202.4530999478884,26.410084033613444
1779024096,45,,Aggregated,46.300000,0.100000,29,43,64,80,110,140,150,170,210,210,210,679,1,29,44.828781589679835,5.515400029253215,206.24209998641163,26.374079528718703
1779024097,48,,Aggregated,52.700000,0.100000,29,43,63,78,110,140,150,160,210,210,210,771,1,29,44.67144889661006,5.515400029253215,206.24209998641163,26.461738002594032
1779024098,51,,Aggregated,58.800000,0.100000,32,49,66,80,110,140,160,170,210,210,210,871,1,32,46.640964523123536,5.515400029253215,212.59089995874092,26.504018369690012
1779024099,54,,Aggregated,65.300000,0.100000,35,52,67,83,120,140,160,170,210,210,210,980,2,35,48.35908928492857,5.515400029253215,212.59089995874092,26.46938775510204
1779024100,57,,Aggregated,70.300000,0.100000,33,50,67,82,120,140,160,170,210,210,210,1089,3,33,47.69660293796383,5.172800039872527,212.59089995874092,26.889807162534435
1779024101,60,,Aggregated,76.200000,0.200000,33,50,65,78,110,140,160,170,210,220,220,1210,3,33,47.03226115646934,5.172800039872527,220.15479998663068,27.299173553719008
1779024102,63,,Aggregated,82.500000,0.300000,35,52,67,80,120,140,160,170,220,240,240,1340,3,35,48.390696417373505,5.172800039872527,235.5107000330463,27.274626865671642
1779024103,66,,Aggregated,88.500000,0.300000,35,51,67,80,120,140,160,170,220,240,240,1459,3,35,48.388696229731636,5.172800039872527,235.5107000330463,27.334475668265934
1779024104,69,,Aggregated,94.600000,0.200000,38,58,78,91,120,150,170,200,240,260,260,1598,4,38,52.93590926130457,5.172800039872527,256.55600003665313,27.240300375469335
1779024105,70,,Aggregated,101.000000,0.200000,38,60,78,92,120,150,170,200,240,260,260,1736,4,38,53.63105731561736,5.172800039872527,256.55600003665313,27.43433179723502
1779024106,70,,Aggregated,105.200000,0.200000,41,64,84,96,130,150,180,210,280,290,290,1878,4,41,56.4714786473858,5.172800039872527,288.9398999977857,27.43929712460064
1779024107,70,,Aggregated,110.600000,0.300000,43,69,88,100,130,160,190,220,290,300,300,2012,4,43,59.296350546653805,5.172800039872527,303.97970002377406,27.401093439363816
1779024108,70,,Aggregated,115.600000,0.300000,45,70,88,100,130,160,190,220,290,300,300,2147,4,45,60.145595621645775,5.172800039872527,303.97970002377406,27.42990218910107
1779024109,70,,Aggregated,120.100000,0.300000,47,73,92,100,140,160,210,230,290,300,300,2289,4,47,62.5811636957713,5.172800039872527,303.97970002377406,27.4608999563128
1779024110,70,,Aggregated,125.400000,0.300000,47,73,91,100,130,160,200,230,290,300,300,2429,4,47,62.0463293537445,5.172800039872527,303.97970002377406,27.634005763688762
1779024111,70,,Aggregated,128.000000,0.200000,49,74,93,100,140,160,210,230,290,300,300,2556,5,49,63.40105813766807,5.172800039872527,303.97970002377406,27.56377151799687
1779024112,70,,Aggregated,132.100000,0.100000,51,77,96,110,140,160,210,230,290,300,300,2696,6,50,64.66113601604654,5.172800039872527,303.97970002377406,27.597551928783382
1779024113,70,,Aggregated,132.900000,0.100000,54,83,100,110,140,170,220,240,290,300,300,2829,6,54,67.76058338614202,5.172800039872527,303.97970002377406,27.6005655708731
1779024114,70,,Aggregated,134.800000,0.200000,54,83,100,110,140,170,220,240,300,300,300,2966,6,54,68.531825252743,5.172800039872527,303.97970002377406,27.596426163182738
1779024115,70,,Aggregated,134.500000,0.300000,56,84,100,110,140,170,220,240,300,300,300,3102,6,56,69.14666392642292,5.172800039872527,303.97970002377406,27.66763378465506
1779024116,70,,Aggregated,135.800000,0.300000,58,86,100,110,150,180,220,240,300,300,300,3238,6,58,70.63141578122159,5.172800039872527,303.97970002377406,27.65287214329833
1779024117,70,,Aggregated,136.000000,0.200000,58,85,100,110,150,180,220,240,300,300,300,3391,6,58,70.52063444413098,5.1040000398643315,303.97970002377406,27.68829253907402
1779024118,70,,Aggregated,135.800000,0.200000,56,84,100,110,150,170,210,240,300,300,300,3528,6,56,69.41454997175659,5.1040000398643315,303.97970002377406,27.803571428571427
1779024119,70,,Aggregated,136.500000,0.200000,58,85,100,110,150,180,220,240,300,300,300,3659,7,58,70.39467846419157,5.1040000398643315,303.97970002377406,27.86362394096748
1779024120,70,,Aggregated,137.200000,0.200000,59,85,100,110,150,180,220,240,300,300,300,3800,7,58,70.59533226329796,5.1040000398643315,303.97970002377406,27.907894736842106
1779024121,70,,Aggregated,137.900000,0.200000,59,86,100,110,150,180,220,240,300,300,300,3932,8,59,71.2054073245821,5.1040000398643315,303.97970002377406,27.946337741607323
1779024122,70,,Aggregated,135.200000,0.300000,59,86,100,120,150,180,220,240,290,300,300,4072,8,59,71.52965117873103,5.1040000398643315,303.97970002377406,27.975196463654225
1779024123,70,,Aggregated,137.100000,0.400000,60,86,100,120,150,180,220,240,290,300,300,4213,8,60,71.78642188467506,5.1040000398643315,303.97970002377406,27.96297175409447
1779024124,70,,Aggregated,137.300000,0.300000,60,87,100,120,150,180,220,240,290,300,300,4347,8,60,72.02454285722875,5.1040000398643315,303.97970002377406,27.959052219921784
1779024125,70,,Aggregated,138.100000,0.200000,62,88,100,120,150,180,220,240,290,300,300,4489,9,62,72.87211646249382,5.1040000398643315,303.97970002377406,27.938739140120294
1779024126,70,,Aggregated,138.100000,0.200000,63,88,100,120,150,180,220,240,290,300,300,4620,9,63,73.52054461044838,5.1040000398643315,303.97970002377406,27.896753246753246
1779024127,70,,Aggregated,138.200000,0.200000,64,89,110,120,150,180,220,240,290,300,300,4752,9,64,74.28341630893495,5.1040000398643315,303.97970002377406,27.88341750841751
1779024128,70,,Aggregated,138.300000,0.300000,65,90,110,120,150,180,220,240,290,300,300,4890,10,65,75.03892494883847,5.1040000398643315,303.97970002377406,27.880572597137014
1779024129,70,,Aggregated,136.900000,0.300000,64,89,110,120,150,180,220,240,290,300,300,5040,10,64,74.53636015872314,5.1040000398643315,303.97970002377406,27.87123015873016
1779024130,70,,Aggregated,135.100000,0.300000,64,89,110,120,150,180,220,240,290,300,300,5177,10,64,74.57665539888933,5.1040000398643315,303.97970002377406,27.870195093683602
1779024131,70,,Aggregated,136.700000,0.400000,64,89,110,120,150,180,220,240,290,300,300,5320,10,64,74.41245687963998,5.1040000398643315,303.97970002377406,27.89830827067669
1779024132,70,,Aggregated,138.600000,0.300000,64,89,110,120,150,180,220,240,290,300,300,5460,10,64,74.58378749075703,5.1040000398643315,303.97970002377406,27.888461538461538
1779024133,70,,Aggregated,138.400000,0.200000,63,88,110,120,150,180,220,240,290,300,300,5603,11,63,74.37029616272409,5.1040000398643315,303.97970002377406,27.88059967874353
1779024134,70,,Aggregated,137.400000,0.200000,63,88,110,120,150,180,220,240,290,300,300,5746,11,63,74.3831230072593,5.1040000398643315,303.97970002377406,27.890358510268012
1779024135,70,,Aggregated,138.200000,0.200000,63,88,100,120,150,180,220,240,290,300,300,5885,11,63,74.20642156327601,5.1040000398643315,303.97970002377406,27.879354290569243
1779024136,70,,Aggregated,139.400000,0.300000,64,89,110,120,150,180,220,240,290,300,300,6018,11,64,75.21854778988121,5.1040000398643315,303.97970002377406,27.863409770687937
1779024137,70,,Aggregated,139.300000,0.300000,64,89,110,120,150,180,220,240,290,300,300,6156,11,64,75.35204173155473,5.1040000398643315,303.97970002377406,27.87004548408057
1779024138,70,,Aggregated,139.300000,0.200000,64,89,110,120,150,180,220,240,290,300,300,6289,11,64,75.2912382254362,5.1040000398643315,303.97970002377406,27.85768802671331
1779024139,70,,Aggregated,139.900000,0.200000,64,89,110,120,150,180,220,240,290,300,300,6434,11,64,75.1865772303414,5.1040000398643315,303.97970002377406,27.885918557662418
1779024140,70,,Aggregated,141.500000,0.200000,64,88,110,120,150,180,220,240,290,300,300,6582,13,64,75.03344641439999,5.1040000398643315,303.97970002377406,27.890003038590095
1779024141,70,,Aggregated,139.900000,0.100000,64,89,110,120,150,180,220,240,290,300,300,6707,13,64,75.3038319665706,5.1040000398643315,303.97970002377406,27.871328462800058
1779024142,70,,Aggregated,138.900000,0.100000,66,91,110,120,160,190,230,250,300,340,340,6834,13,66,77.31266319868428,5.1040000398643315,343.4766999562271,27.851770558969857
1779024143,70,,Aggregated,139.300000,0.300000,66,91,110,120,160,190,230,250,300,340,340,6973,13,66,77.16664765525157,5.1040000398643315,343.4766999562271,27.899182561307903
1779024144,70,,Aggregated,137.500000,0.300000,66,91,110,120,160,190,230,250,300,340,340,7115,13,66,77.30964749121485,5.1040000398643315,343.4766999562271,27.910189739985945
1779024145,70,,Aggregated,136.500000,0.300000,66,91,110,120,160,190,220,250,300,340,340,7263,13,66,77.22817718568584,5.1040000398643315,343.4766999562271,27.93570150075726
1779024146,70,,Aggregated,136.300000,0.200000,66,91,110,120,160,190,220,240,300,340,340,7389,13,66,77.49478217614339,5.1040000398643315,343.4766999562271,27.90391121938016
1779024147,70,,Aggregated,136.400000,0.200000,67,92,110,120,160,190,230,250,300,350,350,7511,13,67,78.67929727059807,5.1040000398643315,353.11550000915304,27.884169884169886
1779024148,70,,Aggregated,137.200000,0.200000,67,92,110,120,160,190,230,250,300,350,350,7657,13,67,78.38723614995833,5.1040000398643315,353.11550000915304,27.87357973096513
1779024149,70,,Aggregated,135.300000,0.200000,67,92,110,120,160,190,230,250,300,350,350,7787,13,67,78.45724151785122,5.1040000398643315,353.11550000915304,27.865031462694233
1779024150,70,,Aggregated,134.400000,0.200000,67,92,110,120,160,190,230,250,300,350,350,7924,14,67,78.67080748350884,5.1040000398643315,353.11550000915304,27.837329631499244
1779024151,70,,Aggregated,135.100000,0.200000,67,92,110,120,160,190,230,250,300,350,350,8072,14,67,78.46498953165575,5.1040000398643315,353.11550000915304,27.85629335976214
1779024152,70,,Aggregated,133.500000,0.200000,67,92,110,120,160,190,230,250,300,350,350,8212,14,67,78.54825232583953,5.1040000398643315,353.11550000915304,27.85265465172918
1779024153,70,,Aggregated,134.300000,0.100000,67,92,110,120,160,190,230,250,300,350,350,8359,16,67,78.38772198823513,5.1040000398643315,353.11550000915304,27.83335327192248
1779024154,70,,Aggregated,136.600000,0.100000,67,92,110,120,160,190,220,250,300,350,350,8472,16,67,78.62941436487006,5.1040000398643315,353.11550000915304,27.820939565627953
1779024155,70,,Aggregated,137.400000,0.100000,67,92,110,120,160,190,230,250,300,350,350,8621,16,67,78.67515411199395,5.1040000398643315,353.11550000915304,27.84920542860457
1779024156,70,,Aggregated,135.900000,0.300000,67,92,110,120,160,190,230,250,300,350,350,8756,16,67,78.86105050243658,5.1040000398643315,353.11550000915304,27.837026039287345
1779024157,70,,Aggregated,134.800000,0.300000,68,93,110,120,160,190,230,250,300,350,350,8893,16,68,79.24649297194897,5.1040000398643315,353.11550000915304,27.865399752614415
1779024158,70,,Aggregated,135.000000,0.300000,67,93,110,120,160,190,230,250,300,350,350,9032,16,67,79.1452200508766,5.1040000398643315,353.11550000915304,27.865589016829052
1779024159,70,,Aggregated,136.400000,0.300000,67,93,110,120,160,190,230,250,300,350,350,9169,16,67,78.95013569632745,5.1040000398643315,353.11550000915304,27.84305813065765
1779024160,70,,Aggregated,136.500000,0.300000,68,94,110,130,160,190,230,250,300,350,350,9311,16,68,79.64074896361858,5.1040000398643315,353.11550000915304,27.848673611856942
1779024161,70,,Aggregated,136.800000,0.300000,68,94,110,130,160,190,230,250,300,350,350,9448,16,68,79.55253382736863,5.1040000398643315,353.11550000915304,27.845575783234548
1779024162,70,,Aggregated,138.000000,0.300000,68,94,110,130,160,190,230,250,300,350,350,9581,16,68,79.86604836665393,5.1040000398643315,353.11550000915304,27.80597014925373
1779024163,70,,Aggregated,136.800000,0.200000,68,94,110,130,160,190,230,250,300,350,350,9710,16,68,79.63175496400476,5.1040000398643315,353.11550000915304,27.787641606591144
1779024164,70,,Aggregated,136.200000,0.200000,68,94,110,130,160,190,230,250,300,350,350,9840,16,68,79.67791155492816,5.1040000398643315,353.11550000915304,27.805691056910568
1779024165,70,,Aggregated,136.000000,0.200000,68,94,110,130,160,190,230,250,300,350,350,9981,17,68,79.70376901115864,5.1040000398643315,353.11550000915304,27.8042280332632
1779024166,70,,Aggregated,136.600000,0.000000,68,94,110,130,160,190,230,250,300,340,350,10115,17,68,79.77301437475981,5.1040000398643315,353.11550000915304,27.80840336134454
1779024167,70,,Aggregated,136.000000,0.000000,68,94,110,130,160,190,230,250,300,340,350,10242,17,67,79.49500195278652,5.1040000398643315,353.11550000915304,27.799062683069714
