Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1779024264,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1779024265,10,,Aggregated,0.000000,0.000000,170,300,520,530,550,970,970,970,970,970,970,15,1,170,290.91646001130965,7.046599988825619,967.7312999847345,22.466666666666665
1779024266,20,,Aggregated,0.000000,0.000000,390,480,530,540,710,730,970,970,970,970,970,35,1,390,366.24062857590616,7.046599988825619,967.7312999847345,19.942857142857143
1779024267,30,,Aggregated,0.000000,0.000000,390,510,530,540,710,930,1100,1200,1200,1200,1200,71,2,390,399.626594369667,7.046599988825619,1211.4562999922782,20.774647887323944
1779024268,40,,Aggregated,8.000000,0.500000,450,530,600,670,930,1200,1300,1400,1400,1400,1400,96,4,440,469.81052813013474,7.046599988825619,1419.1665000398643,20.1875
1779024269,50,,Aggregated,11.666667,0.333333,510,660,730,850,1100,1200,1400,1400,1600,1600,1600,142,7,510,562.2527183117148,7.046599988825619,1631.4389999606647,20.58450704225352
1779024270,70,,Aggregated,18.000000,0.500000,540,710,830,940,1200,1400,1700,1800,1800,1800,1800,179,7,540,632.0956871515093,7.046599988825619,1845.6514000426978,20.58659217877095
1779024272,80,,Aggregated,19.200000,0.800000,660,870,980,1000,1300,1400,1700,1800,1800,1800,1800,215,8,660,704.7661390702435,7.046599988825619,1845.6514000426978,20.302325581395348
1779024273,90,,Aggregated,23.666667,1.166667,730,980,1200,1200,1400,1600,1800,1900,2100,2100,2100,247,8,730,797.2190279361834,7.046599988825619,2069.830299995374,20.473684210526315
1779024274,100,,Aggregated,26.875000,1.000000,890,1200,1300,1400,1600,1800,2100,2400,2400,2400,2400,292,9,890,926.6429208908772,7.046599988825619,2444.087700045202,20.40753424657534
1779024275,110,,Aggregated,27.444444,0.888889,980,1300,1500,1500,1700,2000,2300,2300,2400,2400,2400,329,11,980,1015.3861191494555,7.046599988825619,2444.087700045202,20.11550151975684
1779024276,120,,Aggregated,29.100000,0.900000,1100,1400,1500,1700,1900,2200,2400,2400,2700,2700,2700,362,11,1100,1111.7103864645935,7.046599988825619,2743.348199990578,19.96132596685083
1779024277,120,,Aggregated,32.800000,1.100000,1200,1500,1700,1800,2100,2400,2600,2800,3000,3000,3000,385,11,1200,1190.2061132473762,7.046599988825619,2997.885500022676,19.857142857142858
1779024278,120,,Aggregated,32.800000,1.100000,1300,1600,1800,2000,2400,2700,2900,3000,3300,3300,3300,414,12,1300,1300.5413338175024,7.046599988825619,3294.6822000085376,19.77536231884058
1779024279,120,,Aggregated,34.900000,1.000000,1300,1700,2000,2200,2800,3200,3400,3500,4000,4000,4000,445,13,1300,1439.9681132590251,7.046599988825619,3998.9418999757618,19.680898876404495
1779024280,120,,Aggregated,34.200000,1.000000,1400,1800,2200,2500,3100,3500,3900,4000,4400,4400,4400,468,13,1400,1550.792763248468,7.046599988825619,4353.977599996142,19.568376068376068
1779024281,120,,Aggregated,34.500000,0.900000,1500,2000,2600,2900,3500,3900,4100,4300,4700,4700,4700,506,16,1500,1722.127970751295,7.046599988825619,4668.399899965152,19.701581027667984
1779024282,120,,Aggregated,32.500000,0.600000,1500,2200,2800,3200,3700,3900,4200,4400,4800,4800,4800,535,17,1500,1830.5189618691759,7.046599988825619,4787.679200002458,19.601869158878504
1779024283,120,,Aggregated,32.600000,0.900000,1600,2400,3100,3400,3700,4000,4200,4400,4800,4800,4800,566,17,1600,1929.3601943464628,7.046599988825619,4787.679200002458,19.475265017667844
1779024284,120,,Aggregated,31.800000,0.900000,1800,2700,3200,3400,3800,4000,4300,4500,4800,4800,4800,596,17,1800,2004.0259793625,7.046599988825619,4787.679200002458,19.39765100671141
1779024285,120,,Aggregated,31.200000,0.900000,1900,3000,3400,3500,3800,4000,4300,4400,4800,4800,4800,627,18,1900,2083.6581452953906,7.046599988825619,4787.679200002458,19.413078149920256
1779024286,120,,Aggregated,29.900000,0.800000,1900,3100,3400,3500,3800,4000,4300,4400,4800,4800,4800,644,19,1900,2123.3520006214308,7.046599988825619,4787.679200002458,19.417701863354036
1779024287,120,,Aggregated,29.600000,0.700000,2100,3200,3500,3600,3900,4100,4400,4600,4800,4800,4800,682,21,2100,2223.3947768333387,7.046599988825619,4787.679200002458,19.363636363636363
1779024288,120,,Aggregated,28.300000,0.800000,2200,3300,3500,3600,3900,4100,4500,4600,4800,4800,4800,712,21,2200,2284.333077949842,7.046599988825619,4787.679200002458,19.384831460674157
1779024289,120,,Aggregated,29.300000,0.900000,2400,3400,3500,3700,3900,4200,4500,4600,4800,4800,4800,733,22,2400,2332.0098998639537,7.046599988825619,4787.679200002458,19.304229195088677
1779024290,120,,Aggregated,29.400000,0.900000,2600,3400,3600,3700,4000,4300,4500,4700,4800,4800,4800,763,23,2600,2402.573995544318,7.046599988825619,4830.016699968837,19.36173001310616
1779024291,120,,Aggregated,28.900000,0.900000,2700,3500,3600,3700,4000,4300,4500,4700,4800,4800,4800,795,24,2700,2455.224812704903,7.046599988825619,4830.016699968837,19.476729559748428
1779024292,120,,Aggregated,28.700000,1.000000,3000,3500,3700,3800,4000,4300,4600,4700,4800,4800,4800,819,24,3000,2498.706162882166,7.046599988825619,4830.016699968837,19.39316239316239
1779024293,120,,Aggregated,28.300000,0.700000,3100,3500,3700,3800,4100,4300,4600,4700,4800,4800,4800,843,25,3100,2536.3281026102404,7.046599988825619,4830.016699968837,19.39976275207592
1779024294,120,,Aggregated,28.100000,0.700000,3200,3500,3700,3800,4100,4300,4600,4800,5000,5000,5000,882,25,3200,2588.8153557823903,7.046599988825619,5040.278400003444,19.302721088435373
1779024295,120,,Aggregated,28.300000,0.800000,3200,3500,3700,3800,4100,4300,4600,4700,5000,5000,5000,915,25,3200,2625.0557895079305,7.046599988825619,5040.278400003444,19.312568306010927
1779024296,120,,Aggregated,28.800000,0.800000,3300,3600,3700,3800,4100,4300,4600,4700,5000,5000,5000,933,25,3300,2649.4315767414682,7.046599988825619,5040.278400003444,19.270096463022508
1779024297,120,,Aggregated,28.300000,0.700000,3300,3600,3700,3800,4100,4400,4600,4700,5000,5000,5000,962,25,3300,2682.9561242200107,7.046599988825619,5040.278400003444,19.32952182952183
1779024298,120,,Aggregated,28.200000,0.600000,3400,3600,3700,3800,4100,4400,4600,4800,5000,5000,5000,990,27,3300,2717.7072257571385,7.046599988825619,5040.278400003444,19.278787878787877
1779024299,120,,Aggregated,27.800000,0.500000,3400,3600,3800,3900,4100,4400,4600,4800,5000,5000,5000,1018,28,3400,2752.892143025007,7.046599988825619,5040.278400003444,19.259332023575638
1779024300,120,,Aggregated,27.400000,0.600000,3400,3600,3800,3900,4200,4400,4600,4800,5000,5100,5100,1048,29,3400,2788.190288548953,7.046599988825619,5128.318600007333,19.21946564885496
1779024301,120,,Aggregated,28.400000,0.500000,3400,3600,3800,3900,4200,4500,4700,4800,5000,5100,5100,1073,29,3400,2813.2579140719904,7.046599988825619,5128.318600007333,19.20130475302889
1779024302,120,,Aggregated,28.700000,0.600000,3400,3600,3800,3900,4200,4400,4700,4800,5000,5100,5100,1113,31,3400,2837.922202604689,7.046599988825619,5128.318600007333,19.206648697214735
1779024303,120,,Aggregated,28.200000,0.600000,3400,3600,3800,3900,4200,4500,4700,4800,5000,5100,5100,1134,31,3400,2854.5618247787133,7.046599988825619,5128.318600007333,19.164021164021165
1779024304,120,,Aggregated,29.000000,0.600000,3400,3600,3800,3900,4200,4500,4700,4800,5000,5100,5100,1170,31,3400,2878.8665113668653,7.046599988825619,5128.318600007333,19.144444444444446
1779024305,120,,Aggregated,28.600000,0.600000,3400,3600,3800,3900,4200,4400,4700,4800,5000,5100,5100,1195,31,3400,2896.286463932325,7.046599988825619,5128.318600007333,19.171548117154813
1779024306,120,,Aggregated,28.300000,0.600000,3400,3600,3800,3900,4200,4400,4700,4800,5000,5100,5100,1234,32,3400,2916.3773742295834,7.046599988825619,5128.318600007333,19.179902755267424
1779024307,120,,Aggregated,27.800000,0.600000,3400,3600,3800,3900,4200,4400,4700,4800,5000,5100,5100,1277,33,3400,2927.2044172272385,7.046599988825619,5128.318600007333,19.15896632732968
1779024308,120,,Aggregated,29.600000,0.700000,3400,3600,3800,3900,4200,4400,4600,4800,5000,5100,5100,1306,34,3400,2924.4729230468924,7.046599988825619,5128.318600007333,19.169984686064318
1779024309,120,,Aggregated,30.300000,0.700000,3400,3600,3800,3900,4200,4400,4600,4800,5000,5100,5100,1330,34,3400,2928.8754462401903,7.046599988825619,5128.318600007333,19.130075187969926
