Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1779032616,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1779032617,10,,Aggregated,0.000000,0.000000,130,180,200,200,310,480,480,480,480,480,480,19,0,130,145.47319998842124,9.007300017401576,477.2668000077829,21.526315789473685
1779032618,20,,Aggregated,0.000000,0.000000,130,200,250,290,480,560,1100,1100,1100,1100,1100,50,0,130,190.91662799473852,5.599199968855828,1097.7181000052951,20.7
1779032619,40,,Aggregated,9.000000,0.000000,190,250,310,400,650,760,1100,1300,1300,1300,1300,84,0,180,259.46996666260975,5.141700035892427,1280.9387000161223,19.80952380952381
1779032620,50,,Aggregated,14.000000,0.000000,250,450,530,600,820,1000,1100,1300,1300,1300,1300,113,0,250,352.104928316157,5.141700035892427,1329.6721000224352,19.168141592920353
1779032621,60,,Aggregated,18.000000,0.000000,470,600,740,820,1000,1200,1300,1600,1700,1700,1700,153,1,470,479.72329803689206,5.141700035892427,1672.8972000419162,19.555555555555557
1779032622,70,,Aggregated,22.500000,0.000000,570,680,810,860,1100,1400,1700,1900,2000,2000,2000,196,3,570,570.7715132638423,5.141700035892427,1951.859000022523,19.4234693877551
1779032623,80,,Aggregated,24.400000,0.200000,640,780,860,950,1200,1400,1700,1900,2000,2000,2000,235,3,640,632.1204906354282,5.141700035892427,1951.859000022523,19.19148936170213
1779032624,90,,Aggregated,26.166667,0.166667,700,860,1000,1100,1300,1600,1700,1900,2000,2000,2000,271,6,700,714.4816778574441,5.141700035892427,1951.859000022523,19.232472324723247
1779032625,100,,Aggregated,29.714286,0.428571,770,1000,1200,1200,1600,1800,2000,2100,2200,2200,2200,307,7,770,824.1507087931634,5.141700035892427,2203.120400023181,19.04885993485342
1779032626,110,,Aggregated,30.750000,0.500000,860,1200,1300,1500,1800,2000,2200,2300,2600,2600,2600,347,7,860,933.4768435147172,5.141700035892427,2584.74160003243,19.24207492795389
1779032627,120,,Aggregated,31.444444,0.666667,1000,1300,1600,1700,1900,2200,2500,2700,2800,2800,2800,398,12,1000,1052.5295944710674,5.141700035892427,2835.0288000074215,19.44221105527638
1779032628,120,,Aggregated,31.800000,0.700000,1100,1500,1600,1700,2000,2200,2600,2700,2800,2800,2800,446,15,1100,1129.6044860977206,5.141700035892427,2835.0288000074215,19.484304932735427
1779032629,120,,Aggregated,35.300000,0.700000,1200,1600,1700,1800,2100,2300,2600,2700,2800,2800,2800,493,18,1200,1203.4450326557412,5.141700035892427,2835.0288000074215,19.450304259634887
1779032630,120,,Aggregated,37.900000,1.200000,1400,1700,1800,1900,2100,2300,2600,2700,2900,2900,2900,540,20,1400,1278.3378653687478,5.141700035892427,2913.2993999519385,19.538888888888888
1779032631,120,,Aggregated,40.300000,1.500000,1500,1700,1900,2000,2200,2600,2800,3100,3300,3300,3300,582,20,1500,1358.1324084175837,5.141700035892427,3287.346899975091,19.484536082474225
1779032632,120,,Aggregated,40.800000,1.800000,1600,1800,2000,2100,2400,2700,2900,3100,3300,3300,3300,621,20,1600,1428.1117326875994,5.141700035892427,3287.346899975091,19.30112721417069
1779032633,120,,Aggregated,42.100000,1.900000,1600,1900,2100,2200,2400,2700,2900,3100,3300,3300,3300,658,20,1600,1485.894947263234,5.141700035892427,3287.346899975091,19.27659574468085
1779032634,120,,Aggregated,43.000000,1.900000,1700,2000,2200,2300,2500,2800,3100,3200,3500,3500,3500,701,23,1700,1555.0001553485147,5.141700035892427,3461.4181999932043,19.293865905848786
1779032635,120,,Aggregated,41.900000,1.700000,1700,2100,2300,2300,2600,2900,3200,3300,3500,3500,3500,742,24,1700,1613.0562119933995,5.141700035892427,3517.2280999831855,19.330188679245282
1779032636,120,,Aggregated,41.600000,1.600000,1700,2200,2300,2400,2700,2900,3200,3300,3500,3500,3500,787,26,1700,1665.0819119428115,5.141700035892427,3517.2280999831855,19.273189326556544
1779032637,120,,Aggregated,42.300000,1.700000,1800,2200,2300,2400,2700,3000,3200,3300,3500,3500,3500,832,26,1800,1699.2294389410745,5.141700035892427,3517.2280999831855,19.276442307692307
1779032638,120,,Aggregated,42.900000,1.700000,1900,2200,2300,2400,2700,3000,3200,3300,3500,3500,3500,878,26,1900,1728.0885851926091,5.141700035892427,3517.2280999831855,19.315489749430522
1779032639,120,,Aggregated,43.200000,1.900000,1900,2200,2300,2400,2700,3000,3200,3300,3500,3500,3500,927,28,1900,1749.638199890982,5.141700035892427,3517.2280999831855,19.2470334412082
1779032640,120,,Aggregated,42.700000,1.400000,1900,2200,2300,2400,2700,3000,3200,3300,3500,3500,3500,984,29,1900,1771.982879470182,5.141700035892427,3517.2280999831855,19.301829268292682
1779032641,120,,Aggregated,42.800000,1.100000,1900,2200,2300,2400,2700,3000,3200,3300,3500,3500,3500,1043,31,1900,1771.9258493755556,5.141700035892427,3517.2280999831855,19.34228187919463
1779032642,120,,Aggregated,43.700000,1.000000,1900,2100,2300,2400,2700,3000,3200,3300,3500,3500,3500,1085,33,1900,1773.9674404597185,5.141700035892427,3517.2280999831855,19.32995391705069
1779032643,120,,Aggregated,44.600000,0.900000,1900,2100,2300,2400,2700,3000,3200,3300,3500,3500,3500,1124,36,1900,1785.8566612979746,5.141700035892427,3517.2280999831855,19.344306049822062
1779032644,120,,Aggregated,46.100000,1.100000,1900,2200,2300,2400,2700,3000,3200,3300,3500,3500,3500,1158,36,1900,1806.230319774316,5.141700035892427,3517.2280999831855,19.2720207253886
1779032645,120,,Aggregated,46.200000,1.300000,2000,2200,2300,2400,2700,3000,3200,3300,3500,3500,3500,1202,38,2000,1832.9159066544191,5.141700035892427,3517.2280999831855,19.222961730449253
1779032646,120,,Aggregated,46.800000,1.600000,2000,2200,2400,2400,2800,3000,3300,3400,3600,3700,3700,1244,38,2000,1861.367742844359,5.141700035892427,3725.0304000335746,19.215434083601288
1779032647,120,,Aggregated,45.700000,1.300000,2000,2200,2400,2400,2800,3000,3300,3400,3600,3700,3700,1292,38,2000,1879.6481654788086,5.141700035892427,3725.0304000335746,19.179566563467493
1779032648,120,,Aggregated,46.000000,1.400000,2000,2200,2400,2500,2800,3000,3300,3300,3600,3700,3700,1336,38,2000,1892.8576413910885,5.141700035892427,3725.0304000335746,19.13622754491018
1779032649,120,,Aggregated,45.500000,1.200000,2000,2300,2400,2500,2800,3000,3200,3300,3600,3700,3700,1379,38,2000,1902.6500406805724,5.141700035892427,3725.0304000335746,19.09354604786077
1779032650,120,,Aggregated,46.000000,1.200000,2000,2200,2400,2500,2800,3000,3200,3300,3600,3700,3700,1422,38,2000,1913.272910125445,5.141700035892427,3725.0304000335746,19.071729957805907
1779032651,120,,Aggregated,45.500000,1.200000,2000,2300,2400,2500,2800,3000,3200,3300,3600,3700,3700,1461,39,2000,1927.0179927436582,5.141700035892427,3725.0304000335746,19.059548254620122
1779032652,120,,Aggregated,44.600000,1.000000,2100,2300,2400,2500,2800,3100,3300,3300,3600,3700,3700,1501,41,2100,1948.1612660216406,5.141700035892427,3725.0304000335746,19.01665556295803
1779032653,120,,Aggregated,43.600000,0.900000,2100,2300,2400,2500,2800,3100,3300,3300,3600,3700,3700,1542,43,2100,1963.5949898822594,5.141700035892427,3725.0304000335746,19.088197146562905
1779032654,120,,Aggregated,41.600000,0.800000,2100,2300,2400,2500,2900,3100,3300,3400,3600,3700,3700,1586,43,2100,1979.4511077543139,5.141700035892427,3725.0304000335746,19.078814627994955
1779032655,120,,Aggregated,41.800000,0.800000,2100,2300,2400,2500,2900,3100,3300,3400,3600,3700,3700,1632,44,2100,1989.3190466287956,5.141700035892427,3725.0304000335746,19.07598039215686
1779032656,120,,Aggregated,41.200000,0.700000,2100,2300,2400,2500,2900,3100,3300,3400,3600,3700,3700,1668,45,2100,1998.0339431643251,5.141700035892427,3725.0304000335746,19.08093525179856
1779032657,120,,Aggregated,42.600000,0.700000,2100,2300,2400,2500,2900,3100,3300,3400,3600,3700,3700,1711,46,2100,2010.5388370533199,5.141700035892427,3725.0304000335746,19.077147866744593
1779032659,120,,Aggregated,42.500000,0.600000,2100,2300,2400,2500,2900,3100,3300,3400,3600,3700,3700,1760,49,2100,2023.4666746013813,5.141700035892427,3725.0304000335746,19.09659090909091
1779032660,120,,Aggregated,41.900000,0.700000,2100,2300,2400,2500,2900,3100,3300,3400,3600,3700,3700,1800,49,2100,2031.9321275546745,5.141700035892427,3725.0304000335746,19.075555555555557
1779032661,120,,Aggregated,41.700000,0.800000,2100,2300,2400,2600,2900,3100,3300,3400,3600,3700,3700,1842,50,2100,2039.2097067310353,5.141700035892427,3725.0304000335746,19.066232356134638
1779032662,120,,Aggregated,42.000000,1.100000,2200,2300,2500,2600,2900,3100,3300,3400,3600,3700,3700,1880,51,2100,2048.4405852119844,5.141700035892427,3725.0304000335746,19.020744680851063
1779032663,120,,Aggregated,41.700000,1.200000,2200,2300,2500,2600,2900,3100,3300,3400,3600,3700,3700,1928,55,2200,2059.238160113225,5.141700035892427,3725.0304000335746,19.068464730290458
1779032664,120,,Aggregated,41.700000,1.200000,2200,2300,2500,2600,2900,3100,3300,3400,3600,3700,3700,1968,56,2200,2065.7662127024837,5.141700035892427,3725.0304000335746,19.097560975609756
1779032665,120,,Aggregated,41.600000,1.200000,2200,2300,2500,2600,2900,3100,3300,3400,3600,3700,3700,1996,56,2200,2073.5999814121,5.141700035892427,3725.0304000335746,19.049599198396795
1779032666,120,,Aggregated,42.600000,1.300000,2200,2400,2500,2600,2900,3200,3300,3400,3600,3700,3700,2036,57,2200,2086.9528650778934,5.141700035892427,3725.0304000335746,19.01277013752456
1779032667,120,,Aggregated,40.700000,1.300000,2200,2400,2500,2600,2900,3200,3300,3400,3600,3700,3700,2068,59,2200,2099.2289554151876,5.141700035892427,3725.0304000335746,19.003868471953577
1779032668,120,,Aggregated,40.200000,1.300000,2200,2400,2500,2700,2900,3200,3300,3400,3800,3900,3900,2114,60,2200,2116.5545941809064,5.141700035892427,3869.609799992759,19.000946073793756
1779032669,120,,Aggregated,39.900000,1.400000,2200,2400,2500,2700,3000,3200,3300,3500,3800,3900,3900,2159,61,2200,2126.5597461318466,5.141700035892427,3869.609799992759,18.995831403427513
1779032670,120,,Aggregated,39.900000,1.400000,2200,2400,2500,2700,3000,3200,3300,3500,3800,3900,3900,2206,64,2200,2129.6222672251256,5.141700035892427,3869.609799992759,19.008612873980056
1779032671,120,,Aggregated,39.500000,1.200000,2200,2400,2500,2700,3000,3200,3300,3500,3800,3900,3900,2258,68,2200,2130.905883170272,5.141700035892427,3869.609799992759,19.014171833480958
1779032672,120,,Aggregated,40.200000,1.500000,2200,2400,2500,2700,3000,3200,3300,3500,3800,3900,3900,2300,68,2200,2129.38531452117,5.141700035892427,3869.609799992759,19.029565217391305
1779032673,120,,Aggregated,41.100000,1.800000,2200,2400,2500,2700,2900,3200,3300,3400,3800,3900,3900,2354,68,2200,2127.7615519536466,5.141700035892427,3869.609799992759,19.01911639762107
1779032674,120,,Aggregated,41.400000,1.700000,2200,2400,2500,2600,2900,3200,3300,3400,3800,3900,3900,2404,70,2200,2124.742061896507,5.141700035892427,3869.609799992759,19.031198003327788
1779032675,120,,Aggregated,43.200000,1.300000,2200,2400,2500,2600,2900,3200,3300,3400,3800,3900,3900,2447,71,2200,2124.4031510826185,5.141700035892427,3869.609799992759,19.009399264405396
1779032676,120,,Aggregated,43.500000,1.400000,2200,2400,2500,2600,2900,3200,3300,3400,3800,3900,3900,2483,71,2200,2126.396563108821,5.141700035892427,3869.609799992759,18.97301651228353
1779032677,120,,Aggregated,44.800000,1.500000,2200,2400,2500,2600,2900,3200,3300,3400,3800,3900,3900,2522,71,2200,2131.972414630941,5.141700035892427,3869.609799992759,18.963521015067407
1779032678,120,,Aggregated,44.500000,1.400000,2200,2400,2500,2600,2900,3200,3300,3400,3800,3900,3900,2565,72,2200,2141.037664872995,5.141700035892427,3869.609799992759,18.965302144249513
1779032679,120,,Aggregated,45.200000,1.200000,2200,2400,2500,2700,2900,3200,3300,3400,3800,3900,3900,2614,73,2200,2145.586627084646,5.141700035892427,3869.609799992759,18.98469778117827
1779032680,120,,Aggregated,44.700000,1.200000,2200,2400,2500,2700,2900,3200,3300,3400,3800,3900,3900,2671,75,2200,2145.6612709469077,5.141700035892427,3869.609799992759,18.967053538000748
1779032681,120,,Aggregated,45.400000,1.200000,2200,2400,2500,2600,2900,3200,3300,3400,3800,3900,3900,2715,75,2200,2141.9920189684553,5.141700035892427,3869.609799992759,18.987108655616943
1779032682,120,,Aggregated,46.600000,1.100000,2200,2400,2500,2600,2900,3200,3300,3400,3800,3900,3900,2753,76,2200,2141.9704596801807,5.141700035892427,3869.609799992759,18.968034871049763
1779032683,120,,Aggregated,45.600000,0.700000,2200,2400,2500,2600,2900,3200,3300,3400,3800,3900,3900,2785,76,2200,2146.383401472121,5.141700035892427,3869.609799992759,18.93967684021544
1779032684,120,,Aggregated,45.300000,0.800000,2200,2400,2600,2700,2900,3200,3300,3400,3800,3900,3900,2826,77,2200,2155.4237761499653,5.141700035892427,3869.609799992759,18.93949044585987
