model,MAE,MSE,RMSE,R2,sMAPE,WAPE,MAPE,Accuracy,Precision,Recall,F1,FPR,FNR,TN,FP,FN,TP,ROC_AUC,parameter_count,model_size_mb,inference_latency_mean_ms,inference_latency_p50_ms,inference_latency_p95_ms,checkpoint,train_seconds,seed
persistence,0.3009822228375603,0.200161229798248,0.4473938195798507,-0.0931397605040449,1.612373065786354,1.6009309619910612,1.6130758932273723,1.0,0.0,0.0,0.0,0.0,,272,0,0,0,,0,0.0,2.3177108232630417e-06,2.343767846468836e-06,3.203149390174072e-06,,,42
moving_average,0.2881934222053079,0.1576343048139225,0.3970318687636076,0.1391123726348069,1.5378621327870217,1.5329070544463503,1.5443306725965444,1.0,0.0,0.0,0.0,0.0,,272,0,0,0,,0,0.0,5.369793143472634e-05,4.8437414079671726e-05,7.972646471898759e-05,,,42
arima,4.274556773267825,22.93614702837548,4.789169763996206,-124.26109224426534,19.96377323830224,22.73646005600261,22.781062257653645,1.0,0.0,0.0,0.0,0.0,,272,0,0,0,,0,0.0,,,,,,42
lstm32,18.385487929767216,338.2496010904289,18.391563312846163,-1846.281255712072,191.17793977956785,97.79280849408408,97.79198008362494,1.0,0.0,0.0,0.0,0.0,,272,0,0,0,,6433,0.1084671020507812,0.8325561458756662,0.7795613282723934,1.115741874991727,C:\Users\dhp01\OneDrive\Máy tính\AI_du_doan\paper_artifacts\longrun_20260517_211328\model_selection_seed_42\models\lstm32_quick.keras,8.645,42
bilstm32,18.2543016848127,333.40281536774813,18.259321328235288,-1819.8115233395945,188.7320362197169,97.09502601591964,97.09619284619944,1.0,0.0,0.0,0.0,0.0,,272,0,0,0,,12833,0.1971817016601562,0.913882057329829,0.8709742189694225,1.1282437500085507,C:\Users\dhp01\OneDrive\Máy tính\AI_du_doan\paper_artifacts\longrun_20260517_211328\model_selection_seed_42\models\bilstm32_quick.keras,11.624,42
tcn32,15.344709839014444,235.66054737092176,15.351239278016669,-1286.0120481022166,137.8793601485595,81.61884397174259,81.60901603014727,1.0,0.0,0.0,0.0,0.0,,272,0,0,0,,4929,0.0994110107421875,0.8521198957775292,0.7206699217476853,0.8341807420265468,C:\Users\dhp01\OneDrive\Máy tính\AI_du_doan\paper_artifacts\longrun_20260517_211328\model_selection_seed_42\models\tcn32_quick.keras,5.171,42
tcn_bilstm32_no_attn,9.109771721503314,83.18468607782627,9.120563912271338,-453.29620865326586,63.91758684569934,48.45507308747697,48.42647201937332,1.0,0.0,0.0,0.0,0.0,,272,0,0,0,,23137,0.3292236328125,0.9631914322805338,0.929121874833072,1.110731640596896,C:\Users\dhp01\OneDrive\Máy tính\AI_du_doan\paper_artifacts\longrun_20260517_211328\model_selection_seed_42\models\tcn_bilstm32_no_attn_quick.keras,14.758,42
tcn_bilstm32_temporal_attention,8.297391207779155,69.18682913797896,8.31786205331508,-376.8497659619525,56.63617816878147,44.13400354031928,44.10059833592918,1.0,0.0,0.0,0.0,0.0,,272,0,0,0,,23231,0.3387336730957031,0.9483614583283876,0.9149984373379992,1.2041143357691908,C:\Users\dhp01\OneDrive\Máy tính\AI_du_doan\paper_artifacts\longrun_20260517_211328\model_selection_seed_42\models\tcn_bilstm32_temporal_attention_quick.keras,15.557,42
tcn_feature_attention_bilstm_temporal_attention,5.681096729110269,32.46463604206061,5.697774657009578,-176.29899293504317,35.56627725735647,30.217876544181664,30.1802614276622,1.0,0.0,0.0,0.0,0.0,,272,0,0,0,,23413,0.3459014892578125,0.9155476302566968,0.8889089845069975,1.13152128915317,C:\Users\dhp01\OneDrive\Máy tính\AI_du_doan\paper_artifacts\longrun_20260517_211328\model_selection_seed_42\models\tcn_feature_attention_bilstm_temporal_attention_quick.keras,15.637,42
persistence,0.3009822228375603,0.200161229798248,0.4473938195798507,-0.0931397605040449,1.612373065786354,1.6009309619910612,1.6130758932273723,1.0,0.0,0.0,0.0,0.0,,272,0,0,0,,0,0.0,2.0052084437338635e-06,1.5625118976458907e-06,3.203149390174072e-06,,,123
