model,MAE,MSE,RMSE,R2,sMAPE,WAPE,MAPE,Accuracy,Precision,Recall,F1,FPR,FNR,TN,FP,FN,TP,ROC_AUC,parameter_count,model_size_mb,inference_latency_mean_ms,inference_latency_p50_ms,inference_latency_p95_ms,checkpoint,train_seconds,seed
persistence,5.034296292218671,126.8196469726433,11.26142295505516,0.8057201711076879,25.39300690503064,22.06776647216359,66.38307120009998,0.9453,0.717741935483871,0.7272727272727273,0.7224759005580923,0.0310386875069282,0.2727272727272727,17482,560,534,1424,0.9470887444674264,0,0.0,3.6458459362620488e-06,3.125023795291781e-06,5.19535205967258e-06,,,42
moving_average,4.966392941846315,91.96294516454378,9.589731235261173,0.8591184751140751,64.00733900453388,21.770113097845755,70.25211997406853,0.9394,0.6971458773784355,0.6736465781409602,0.6851948051948052,0.0317592284669105,0.3263534218590398,17469,573,639,1319,0.9531480229028646,0,0.0,0.0002954687412663,0.0002675781161087,0.0003701953573909,,,42
arima,42.08026595573845,2178.448999728307,46.67385777636456,-2.3372486757445405,119.82463859686536,184.4582496332412,2216.7977008503262,0.0979,0.0978597859785978,0.9994892747701736,0.1782656221533977,0.999944573772309,0.0005107252298263,1,18041,1,1957,0.4997176744219226,0,0.0,,,,,,42
lstm32,6.509753213897708,112.1628785543502,10.590697736898653,0.828173430743669,83.06506555708137,28.535410984402027,116.42112156234296,0.94225,0.6761737604212373,0.7870275791624106,0.7274014632995044,0.0409045560359161,0.2129724208375893,17304,738,417,1541,0.9566275331456202,6433,0.1084671020507812,0.7524635937897983,0.7223636719118076,0.9384575782632965,C:\Users\dhp01\OneDrive\Máy tính\AI_du_doan\paper_artifacts\model_selection_seed_42\models\lstm32_quick.keras,36.011,42
bilstm32,10.25145332222021,229.64478254622455,15.154035190213351,0.6481984446091633,92.2456342520237,44.93710039766861,124.41933993236964,0.84375,0.373619233268356,0.8810010214504597,0.5247148288973384,0.1602926504822081,0.1189989785495403,15150,2892,233,1725,0.9275412330937268,12833,0.1971817016601562,0.766903541625652,0.765956640634613,0.8587446874116722,C:\Users\dhp01\OneDrive\Máy tính\AI_du_doan\paper_artifacts\model_selection_seed_42\models\bilstm32_quick.keras,51.928,42
tcn32,5.763951582302514,104.73555098714093,10.234038840415884,0.8395516356459098,71.28260106057436,25.26620009865417,86.06100977847926,0.9351,0.7093908629441624,0.5709908069458631,0.6327108092812677,0.025385212282452,0.4290091930541369,17584,458,840,1118,0.9461501644273678,4929,0.0994110107421875,0.6089271614655445,0.6086617188429955,0.6683091796730878,C:\Users\dhp01\OneDrive\Máy tính\AI_du_doan\paper_artifacts\model_selection_seed_42\models\tcn32_quick.keras,24.962,42
tcn_bilstm32_no_attn,9.523173874159518,210.9890058189204,14.525460606084764,0.6767779368010607,89.64073309716602,41.7446977551939,95.48496825785242,0.83075,0.3556544608537325,0.8978549540347294,0.5094913780611505,0.1765325351956546,0.1021450459652706,14857,3185,200,1758,0.9412486374149795,23137,0.3292236328125,0.7863780729318629,0.7558617187441996,0.9692591793964308,C:\Users\dhp01\OneDrive\Máy tính\AI_du_doan\paper_artifacts\model_selection_seed_42\models\tcn_bilstm32_no_attn_quick.keras,66.986,42
tcn_bilstm32_temporal_attention,7.763152571596566,145.30271285726107,12.054157492635522,0.7774052612085658,78.92723595079697,34.02966931099493,85.38252181867966,0.89715,0.4847551586079457,0.8038815117466803,0.6048030739673391,0.0927280789269482,0.1961184882533197,16369,1673,384,1574,0.9430015414039582,23231,0.3387336730957031,0.823657812482755,0.7832148437501019,1.1472719922039682,C:\Users\dhp01\OneDrive\Máy tính\AI_du_doan\paper_artifacts\model_selection_seed_42\models\tcn_bilstm32_temporal_attention_quick.keras,76.242,42
tcn_feature_attention_bilstm_temporal_attention,7.604216015692416,135.041061595373,11.620716914002037,0.7931254741164462,78.11043530125966,33.33297316996644,114.66816048101164,0.8992,0.4908805031446541,0.7972420837589377,0.6076294277929155,0.0897350626316372,0.2027579162410623,16423,1619,397,1561,0.9429409490442174,23413,0.3459014892578125,0.8476872135361191,0.8348476560513518,1.0384444921328393,C:\Users\dhp01\OneDrive\Máy tính\AI_du_doan\paper_artifacts\model_selection_seed_42\models\tcn_feature_attention_bilstm_temporal_attention_quick.keras,77.789,42
persistence,5.034296292218671,126.8196469726433,11.26142295505516,0.8057201711076879,25.39300690503064,22.06776647216359,66.38307120009998,0.9453,0.717741935483871,0.7272727272727273,0.7224759005580923,0.0310386875069282,0.2727272727272727,17482,560,534,1424,0.9470887444674264,0,0.0,3.6458307780170194e-06,3.125023795291781e-06,5.19535205967258e-06,,,123
moving_average,4.966392941846315,91.96294516454378,9.589731235261173,0.8591184751140751,64.00733900453388,21.770113097845755,70.25211997406853,0.9394,0.6971458773784355,0.6736465781409602,0.6851948051948052,0.0317592284669105,0.3263534218590398,17469,573,639,1319,0.9531480229028646,0,0.0,0.0002291406265915,0.0001652344963076,0.0005787110012533,,,123
arima,42.08026595573845,2178.448999728307,46.67385777636456,-2.3372486757445405,119.82463859686536,184.4582496332412,2216.7977008503262,0.0979,0.0978597859785978,0.9994892747701736,0.1782656221533977,0.999944573772309,0.0005107252298263,1,18041,1,1957,0.4997176744219226,0,0.0,,,,,,123
lstm32,22.069435584558907,985.7554540465716,31.39674272988476,-0.5101161808402066,100.98592221299594,96.74105821011712,297.3936551130776,0.50925,0.1660290742157613,0.9974463738508682,0.2846731287807011,0.5437312936481543,0.0025536261491317,8232,9810,5,1953,0.7731991316595406,6433,0.1084671020507812,0.4622531250485432,0.4493242188345903,0.5934786328452898,C:\Users\dhp01\OneDrive\Máy tính\AI_du_doan\paper_artifacts\model_selection_seed_123\models\lstm32_quick.keras,23.964,123
bilstm32,6.660850672106806,148.45898749049533,12.184374727104192,0.7725700443449344,76.48389283619676,29.19774455174682,99.1134407034764,0.92135,0.7975270479134466,0.2635342185903984,0.3961612284069098,0.0072608358275135,0.7364657814096016,17911,131,1442,516,0.8836583099314629,12833,0.1971817016601562,0.5056097655900279,0.492908984369933,0.6498425780591786,C:\Users\dhp01\OneDrive\Máy tính\AI_du_doan\paper_artifacts\model_selection_seed_123\models\bilstm32_quick.keras,26.467,123
tcn32,5.963555473970238,109.39737719235757,10.459320111381883,0.832410007206662,71.59803839032612,26.14116092983662,76.46695046153789,0.93,0.6548279689234184,0.6026557711950971,0.6276595744680851,0.0344751136237667,0.3973442288049029,17420,622,778,1180,0.9431160455362412,4929,0.0994110107421875,0.423416276074325,0.4105496095689886,0.6387299609741602,C:\Users\dhp01\OneDrive\Máy tính\AI_du_doan\paper_artifacts\model_selection_seed_123\models\tcn32_quick.keras,12.548,123
tcn_bilstm32_no_attn,9.58227936116046,205.3824318161485,14.331169938848277,0.685366860236288,91.0291802395743,42.00378582006928,98.32141838623404,0.83985,0.3659272022399311,0.8677221654749745,0.5147704893198001,0.1631748143221372,0.1322778345250255,15098,2944,259,1699,0.9254746104283512,23137,0.3292236328125,0.4615607811653414,0.4481816404222627,0.5791058200202314,C:\Users\dhp01\OneDrive\Máy tính\AI_du_doan\paper_artifacts\model_selection_seed_123\models\tcn_bilstm32_no_attn_quick.keras,34.742,123
tcn_bilstm32_temporal_attention,5.72610447562224,102.22944614464886,10.110857834261584,0.8433908327388537,75.94553225872993,25.10029784273048,93.34643521841885,0.94345,0.8364524003254679,0.5250255362614913,0.6451208032632569,0.0111406717658796,0.4749744637385086,17841,201,930,1028,0.9532760297474094,23231,0.3387336730957031,0.4933576042276399,0.5124230469846225,0.5812844922502335,C:\Users\dhp01\OneDrive\Máy tính\AI_du_doan\paper_artifacts\model_selection_seed_123\models\tcn_bilstm32_temporal_attention_quick.keras,39.304,123
tcn_feature_attention_bilstm_temporal_attention,6.527523896156612,134.0028856505964,11.57596154324108,0.7947158952359343,93.77069572944372,28.613308518312905,64.84530481165056,0.9381,0.7524544179523142,0.5480081716036772,0.6341607565011821,0.019565458374903,0.4519918283963228,17689,353,885,1073,0.9467713316527692,23413,0.3459014892578125,0.4791836718898897,0.4767503905895864,0.58596667963684,C:\Users\dhp01\OneDrive\Máy tính\AI_du_doan\paper_artifacts\model_selection_seed_123\models\tcn_feature_attention_bilstm_temporal_attention_quick.keras,52.663,123
persistence,5.034296292218671,126.8196469726433,11.26142295505516,0.8057201711076879,25.39300690503064,22.06776647216359,66.38307120009998,0.9453,0.717741935483871,0.7272727272727273,0.7224759005580923,0.0310386875069282,0.2727272727272727,17482,560,534,1424,0.9470887444674264,0,0.0,3.2552028036055467e-06,3.125023795291781e-06,5.1172264647902895e-06,,,2026
moving_average,4.966392941846315,91.96294516454378,9.589731235261173,0.8591184751140751,64.00733900453388,21.770113097845755,70.25211997406853,0.9394,0.6971458773784355,0.6736465781409602,0.6851948051948052,0.0317592284669105,0.3263534218590398,17469,573,639,1319,0.9531480229028646,0,0.0,6.130208021204453e-05,5.234369382378645e-05,7.390635801129968e-05,,,2026
arima,42.08026595573845,2178.448999728307,46.67385777636456,-2.3372486757445405,119.82463859686536,184.4582496332412,2216.7977008503262,0.0979,0.0978597859785978,0.9994892747701736,0.1782656221533977,0.999944573772309,0.0005107252298263,1,18041,1,1957,0.4997176744219226,0,0.0,,,,,,2026
